date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20260318,OTC.TW,櫃買指數,311.7,330.12,306.07,329.4,2.61,197261110000,328.29,325.32,319.66,322.68,317.13
20260317,OTC.TW,櫃買指數,298.49,323.93,298.49,321.03,1.21,201571710000,322.41,319.66,313.8,317.13,313.21
20260316,OTC.TW,櫃買指數,290.63,319.22,290.63,317.19,1.37,165293160000,316.3,313.8,311.68,313.21,310.82
20260313,OTC.TW,櫃買指數,302.89,315.35,285.18,312.9,0.42,154580700000,311.12,311.68,310.69,310.82,306.4
20260312,OTC.TW,櫃買指數,304.36,315.35,285.18,311.59,0.03,179071880000,312.17,310.69,303.31,306.4,298.72
20260311,OTC.TW,櫃買指數,295.61,312.16,285.18,311.5,4.7,164372210000,309.08,303.31,293.25,298.72,297.03
20260310,OTC.TW,櫃買指數,307.83,308.45,285.18,297.53,2.97,169718400000,297.73,293.25,296.62,297.03,299.6
20260309,OTC.TW,櫃買指數,316.39,321.09,285.18,288.96,-5.72,141476250000,287.87,296.62,304.89,299.6,301.88
20260306,OTC.TW,櫃買指數,315.17,321.09,292.5,306.49,0.75,144164950000,305.2,304.89,300.58,301.88,305.6
20260305,OTC.TW,櫃買指數,313.34,321.09,292.5,304.21,3.54,169367990000,304.62,300.58,306.0,305.6,308.93
20260304,OTC.TW,櫃買指數,311.76,321.09,292.5,293.8,-4.86,198448130000,297.14,306.0,314.38,308.93,314.98
20260303,OTC.TW,櫃買指數,303.96,321.09,303.96,308.81,-2.28,224063620000,313.84,314.38,315.57,314.98,314.32
20260302,OTC.TW,櫃買指數,298.47,318.32,298.47,316.01,-0.23,204814100000,314.98,315.57,314.02,314.32,312.56
20260226,OTC.TW,櫃買指數,296.48,318.32,295.64,316.73,1.11,226614910000,316.1,314.02,310.61,312.56,308.26
20260225,OTC.TW,櫃買指數,297.06,313.77,295.55,313.24,0.58,221903580000,311.89,310.61,306.1,308.26,303.68
20260224,OTC.TW,櫃買指數,291.94,311.51,291.94,311.44,2.5,187471020000,309.09,306.1,300.54,303.68,299.43
20260223,OTC.TW,櫃買指數,295.93,305.07,285.03,303.83,2.06,186471700000,303.1,300.54,297.08,299.43,297.11
20260211,OTC.TW,櫃買指數,301.07,302.62,285.03,297.71,0.4,136745320000,297.04,297.08,297.15,297.11,294.52
20260210,OTC.TW,櫃買指數,298.07,302.62,285.03,296.52,-0.03,154938570000,297.12,297.15,293.31,294.52,295.29
