date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20260320,TSE.TW,加權指數,33719.85,33989.18,33379.24,33543.88,1.57,1.07956E+12,33650,33754,34093,33935,34008
20260319,TSE.TW,加權指數,34279.12,34279.12,33663.78,33689.68,1.54,1.00148E+12,33872,34093,34077,34008,33894
20260318,TSE.TW,加權指數,33816.15,34423.66,33013.46,34348.58,1.51,9.23401E+11,34306.48,34076.94,33655.87,33893.98,33556.02
20260317,TSE.TW,加權指數,33128.49,34218.66,33013.46,33836.57,1.48,8.45319E+11,33826.2,33655.87,33404.39,33556.02,33509.8
20260316,TSE.TW,加權指數,32692.37,34218.66,32455.2,33342.51,-0.17,7.54337E+11,33464.99,33404.39,33531.82,33509.8,33607.41
20260313,TSE.TW,加權指數,32354.61,34218.66,31529.36,33400.32,-0.54,7.51926E+11,33343.59,33531.82,33741.79,33607.41,33479.15
20260312,TSE.TW,加權指數,33483.94,34218.66,31529.36,33581.86,-1.56,7.83266E+11,33712.52,33741.79,33350.48,33479.15,32784.08
20260311,TSE.TW,加權指數,33620.74,34319.68,31529.36,34114.19,4.1,6.92847E+11,33774.89,33350.48,32353.8,32784.08,32708.63
20260310,TSE.TW,加權指數,34228.75,34319.68,31529.36,32771.87,2.06,7.27682E+11,32946.38,32353.8,32595.01,32708.63,33025
20260309,TSE.TW,加權指數,35106.22,35264.59,31529.36,32110.42,-4.43,8.67741E+11,31856.87,32595.01,33725.17,33025,33496.26
20260306,TSE.TW,加權指數,35277.48,35345.72,32828.88,33599.54,-0.22,6.54852E+11,33573.11,33725.17,33469.66,33496.26,33938.66
20260305,TSE.TW,加權指數,35457.76,35579.34,32828.88,33672.94,2.57,7.92843E+11,33850.77,33469.66,33970.18,33938.66,34337.74
20260304,TSE.TW,加權指數,34753.31,35579.34,32828.88,32828.88,-4.35,1.09854E+12,33194.6,33970.18,34928.63,34337.74,35101.05
20260303,TSE.TW,加權指數,34020.71,35579.34,33987.51,34323.65,-2.2,1.1121E+12,34736.29,34928.63,35283.8,35101.05,35266.1
20260302,TSE.TW,加權指數,33663.02,35579.34,33663.02,35095.09,-0.9,1.01317E+12,35139.74,35283.8,35323.59,35266.1,35072.58
20260226,TSE.TW,加權指數,33086.15,35579.34,33071.67,35414.49,0,1.20663E+12,35404.76,35323.59,34859.51,35072.58,34560.76
20260225,TSE.TW,加權指數,32439.71,35521.54,32439.71,35413.07,2.05,1.02E+12,35227.57,34859.51,34185.08,34560.76,33982.4
20260224,TSE.TW,加權指數,31956.21,34786.42,31956.21,34700.82,2.75,8.61203E+11,34423.59,34185.08,33751.81,33982.4,33513.16
20260223,TSE.TW,加權指數,31746.44,34212.38,31164.28,33773.26,0.5,9.49189E+11,33968.67,33751.81,33199,33513.16,32978.47
20260211,TSE.TW,加權指數,32241.64,33707.83,31164.28,33605.71,1.61,6.98604E+11,33457.17,33199,32727.18,32978.47,32319.85
20260210,TSE.TW,加權指數,32196.57,33072.97,31164.28,33072.97,2.06,6.77629E+11,32932.84,32727.18,32012.82,32319.85,31987.57
20260209,TSE.TW,加權指數,31737.66,32666.05,31164.28,32404.62,1.96,6.53187E+11,32513.82,32012.82,31744.53,31987.57,31893.22
20260206,TSE.TW,加權指數,32008.46,32380,31164.28,31782.92,-0.06,6.99661E+11,31545.09,31744.53,32064.89,31893.22,32083.31
20260205,TSE.TW,加權指數,32555.52,32555.52,31359.95,31801.27,-1.51,7.14636E+11,31939.79,32064.89,32150.55,32083.31,31958.6
20260204,TSE.TW,加權指數,32828.02,32996.03,31359.95,32289.81,0.29,7.04188E+11,32191.84,32150.55,31855.44,31958.6,31982.61
20260203,TSE.TW,加權指數,32381.76,32996.03,31359.95,32195.36,1.81,8.21246E+11,32115.14,31855.44,31919.01,31982.61,32193.86
20260202,TSE.TW,加權指數,32095.08,32996.03,31359.95,31624.03,-1.37,7.70729E+11,31578.71,31919.01,32443.45,32193.86,32501.05
20260130,TSE.TW,加權指數,32002.56,32996.03,31989.86,32063.75,-1.45,9.40693E+11,32197.82,32443.45,32658.48,32501.05,32535.05
20260129,TSE.TW,加權指數,31788.77,32996.03,31693.15,32536.27,-0.82,9.58876E+11,32684.42,32658.48,32449.29,32535.05,32342.72
20260128,TSE.TW,加權指數,31371.13,32803.82,31371.13,32803.82,1.5,8.52991E+11,32629.33,32449.29,32186.37,32342.72,32090.07
20260127,TSE.TW,加權指數,31749.14,32428.17,31200.76,32317.92,0.79,8.16914E+11,32261.29,32186.37,32000.67,32090.07,31924.51
20260126,TSE.TW,加權指數,31584.34,32196.75,31200.76,32064.52,0.32,7.46734E+11,32104.4,32000.67,31842.21,31924.51,31704.22
20260123,TSE.TW,加權指數,31336.77,32042.44,31200.76,31961.51,0.68,8.17968E+11,31905.98,31842.21,31607.86,31704.22,31605.86
20260122,TSE.TW,加權指數,30844.63,31890.62,30844.63,31746.08,1.6,8.14112E+11,31778.13,31607.86,31523.23,31605.86,31511.65
20260121,TSE.TW,加權指數,30746.98,31827.39,30663.87,31246.37,-1.62,8.98426E+11,31453.56,31523.23,31543.83,31511.65,31452.86
20260120,TSE.TW,加權指數,30742.53,31827.39,30663.87,31759.99,0.38,7.98978E+11,31601.57,31543.83,31381.88,31452.86,31207.08
20260119,TSE.TW,加權指數,30630.86,31827.39,30529.33,31639.29,0.73,8.22859E+11,31487.77,31381.88,31055.38,31207.08,31001.44
20260116,TSE.TW,加權指數,30472.7,31475.22,30472.7,31408.7,1.94,8.5102E+11,31279.5,31055.38,30826.5,31001.44,30801.26
20260115,TSE.TW,加權指數,30370.45,30994.81,29925.49,30810.58,-0.42,6.71452E+11,30771.32,30826.5,30815.32,30801.26,30748.93
20260114,TSE.TW,加權指數,30330.58,30994.81,29925.49,30941.78,0.76,6.81203E+11,30880.89,30815.32,30683.51,30748.93,30541.67
20260113,TSE.TW,加權指數,30412.32,30973.85,29925.49,30707.22,0.46,7.48196E+11,30755.62,30683.51,30421.28,30541.67,30420.09
20260112,TSE.TW,加權指數,29933.65,30681.99,29925.49,30567.29,0.92,6.25808E+11,30597.29,30421.28,30344.28,30420.09,30378.12
20260109,TSE.TW,加權指數,29779.7,30593.49,29779.7,30288.96,-0.24,7.03837E+11,30264.79,30344.28,30426.75,30378.12,30377.18
20260108,TSE.TW,加權指數,29016.68,30593.49,29007.75,30360.55,-0.25,7.58973E+11,30418,30426.75,30358.34,30377.18,30264.49
20260107,TSE.TW,加權指數,28723.49,30576.3,28687.9,30435.47,-0.46,8.8133E+11,30434.28,30358.34,30168.77,30264.49,29878.51
20260106,TSE.TW,加權指數,28723.82,30576.3,28553.64,30576.3,1.57,7.62948E+11,30270.62,30168.77,29674.95,29878.51,29464.55
20260105,TSE.TW,加權指數,28662.79,30339.32,28553.64,30105.04,2.57,8.00376E+11,30071.69,29674.95,29065.35,29464.55,28961.37
20260102,TSE.TW,加權指數,28443.48,29363.43,28404.34,29349.81,1.33,6.69342E+11,29200.55,29065.35,28803.99,28961.37,28782.64
