date,traded,transaction,open,high,low,close,difference,transactions
 99/01/04,20083125,1132155005,56.45,56.65,56.05,56.50,+0.05,1624
 99/01/05,16453854,932015376,56.80,56.90,56.15,56.50, 0.00,1866
 99/01/06,19012172,1087143829,56.50,57.75,56.50,57.55,+1.05,2958
 99/01/07,14110575,814344344,57.60,58.15,57.30,57.40,-0.15,1846
 99/01/08,11342752,651830965,57.30,57.75,57.05,57.75,+0.35,1493
 99/01/11,11581081,670025579,57.10,58.05,57.10,57.90,+0.15,1636
 99/01/12,7306217,420473484,57.55,57.85,57.25,57.60,-0.30,1329
 99/01/13,16686518,948986977,57.05,57.15,56.70,56.75,-0.85,2021
 99/01/14,9978365,570406499,56.80,57.60,56.80,57.45,+0.70,1208
 99/01/15,8425543,485743844,57.35,57.95,57.35,57.80,+0.35,1020
 99/01/18,5019674,288586818,57.45,57.70,57.30,57.50,-0.30,767
 99/01/19,6724054,382797005,57.50,57.70,56.50,56.75,-0.75,1461
 99/01/20,23397890,1318003114,56.80,56.95,56.10,56.40,-0.35,1627
 99/01/21,13862156,776395581,56.15,56.40,55.75,55.95,-0.45,1880
 99/01/22,29477562,1612081382,55.20,55.20,54.35,54.40,-1.55,3929
 99/01/25,12845252,695785374,53.95,54.45,53.80,54.20,-0.20,2147
 99/01/26,26395774,1416284559,54.15,54.55,52.75,52.95,-1.25,4558
 99/01/27,14855839,787198926,52.95,53.30,52.70,52.90,-0.05,2182
 99/01/28,12622891,676089714,53.10,54.20,53.10,54.05,+1.15,1822
 99/01/29,13799786,727944433,52.95,53.25,52.20,53.00,-1.05,2804
 99/02/01,19637117,1030361997,53.15,53.20,51.95,52.40,-0.60,2590
 99/02/02,11987878,625747966,52.95,52.95,51.60,51.85,-0.55,2350
 99/02/03,13598236,714184048,52.10,52.80,52.05,52.75,+0.90,1744
 99/02/04,5940528,312541875,52.75,52.85,52.35,52.55,-0.20,982
 99/02/05,24216962,1231585083,51.25,51.30,50.50,50.75,-1.80,5321
 99/02/06,20632533,1049372801,50.80,51.30,50.30,51.20,+0.45,2283
 99/02/08,18165694,924930778,51.05,51.20,50.70,50.85,-0.35,1878
 99/02/09,11269571,578396177,50.85,51.65,50.75,51.55,+0.70,2082
 99/02/10,11276655,586447115,51.95,52.25,51.70,52.10,+0.55,2214
 99/02/22,11224937,594117801,53.05,53.15,52.60,52.60,+0.50,2098
 99/02/23,9598427,504580432,52.60,52.75,52.20,52.60, 0.00,1240
 99/02/24,11037905,577819651,52.15,52.55,52.15,52.25,-0.35,1024
 99/02/25,20470988,1062022326,52.25,52.30,51.35,51.65,-0.60,2193
 99/02/26,9391284,483837797,51.65,51.75,51.20,51.55,-0.10,1366
 99/03/01,13647130,715419506,51.50,52.95,51.50,52.80,+1.25,2066
 99/03/02,9997438,528112268,52.75,53.10,52.55,52.65,-0.15,1225
 99/03/03,8764746,462426932,52.70,53.10,52.50,52.65, 0.00,1041
 99/03/04,8149453,426373974,52.75,52.90,51.80,52.20,-0.45,1295
