日期,品名,規格, 數量 , 單位 , 單價 , 金額 , 總計 
2025/5/14,001.九層塔,,0.19,台斤,100,19,"$1,136"
2025/5/14,012.綠捲生菜,,0.19,台斤,300,56,  
2025/5/14,021.洋菇,,3,盒,85,255,  
2025/5/14,004.牛番茄,,1,台斤,80,80,  
2025/5/14,005.紅椒,,1.18,台斤,125,148,  
2025/5/14,006.黃椒,,1,台斤,120,120,  
2025/5/14,201.蛤蠣,,2,台斤,155,310,  
2025/5/14,007.洋蔥,,3.7,台斤,40,148,  
2025/5/16,001.九層塔,,0.25,台斤,100,25,"$1,358"
2025/5/16,401.薄荷葉,,1,包,100,100,  
2025/5/16,005.紅椒,,2.18,台斤,125,273,  
2025/5/16,006.黃椒,,2.12,台斤,120,255,  
2025/5/16,021.洋菇,,6,盒,85,510,  
2025/5/16,012.綠捲生菜,,0.25,台斤,300,75,  
2025/5/16,008.蒜(碎),,1,台斤,120,120,  
2025/5/17,401.薄荷葉,,1,包,100,100,"$2,369"
2025/5/17,012.綠捲生菜,,0.18,台斤,300,56,  
2025/5/17,013.芝麻葉,,0.12,台斤,"1,100.00",138,  
2025/5/17,021.洋菇,,6,盒,85,510,  
2025/5/17,201.蛤蠣,,2,台斤,155,310,  
2025/5/17,202.白蝦,,4,盒,280,"1,120",  
2025/5/17,007.洋蔥,,3.35,台斤,40,135,  
2025/5/18,010.紫包心,,0.38,台斤,240,90,"$4,135"
2025/5/18,001.九層塔,,0.18,台斤,100,19,  
2025/5/18,012.綠捲生菜,,0.18,台斤,300,56,  
2025/5/18,011.蘿蔓生菜,,2.56,台斤,100,256,  
2025/5/18,021.洋菇,,6,盒,85,510,  
2025/5/18,022.杏鮑菇,,1,台斤,85,85,  
2025/5/18,023.香菇,,0.5,台斤,140,70,  
2025/5/18,201.蛤蠣,,2,台斤,155,310,  
2025/5/18,101.無骨雞腿,,15,台斤,145,"2,175",  
2025/5/18,007.洋蔥,,6,台斤,40,240,  
2025/5/18,005.紅椒,,0.89,台斤,125,109,  
2025/5/18,006.黃椒,,1.12,台斤,120,135,  
2025/5/18,004.牛番茄,,1,台斤,80,80,  
2025/5/21,401.薄荷葉,,1,包,100,100,"$3,411"
2025/5/21,202.白蝦,,4,盒,280,"1,120",  
2025/5/21,003.聖女番茄,,1,盒,125,125,  
2025/5/21,011.蘿蔓生菜,,2.25,台斤,100,219,  
2025/5/21,021.洋菇,,6,盒,85,510,  
2025/5/21,012.綠捲生菜,,0.02,台斤,300,75,  
2025/5/21,001.九層塔,,0.15,台斤,100,13,  
2025/5/21,002.洋芋,,10.5,台斤,40,420,  
2025/5/21,005.紅椒,,1.03,台斤,100,131,  
2025/5/21,006.黃椒,,0.95,台斤,120,113,  
2025/5/21,008.蒜(碎),,1,台斤,120,120,  
2025/5/21,201.蛤蠣,,2,台斤,155,310,  
2025/5/21,022.杏鮑菇,,1,台斤,85,85,  
2025/5/21,023.香菇,,0.5,台斤,140,70,  
2025/5/23,001.九層塔,,0.19,台斤,100,19,"$2,925"
2025/5/23,012.綠捲生菜,,0.19,台斤,300,56,  
2025/5/23,008.蒜頭,,1.5,台斤,150,225,  
2025/5/23,401.薄荷葉,,2,包,100,200,  
2025/5/23,021.洋菇,,6,盒,85,510,  
2025/5/23,203.鯛魚片,,3,包,155,465,  
2025/5/23,204.淡菜,,1,包,150,150,  
2025/5/23,102.二節翅,,10,台斤,130,"1,300",  
2025/5/24,021.洋菇,,6,盒,85,510,"$2,391"
2025/5/24,011.蘿蔓生菜,,2.8,台斤,110,316,  
2025/5/24,008.蒜(碎),,1,台斤,120,120,  
2025/5/24,005.紅椒,,1.18,台斤,110,131,  
2025/5/24,006.黃椒,,1.18,台斤,100,119,  
2025/5/24,202.白蝦,,4,盒,280,"1,120",  
2025/5/24,012.綠捲生菜,,0.25,台斤,300,75,  
2025/5/25,008.蒜(碎),,1,台斤,120,120,"$5,312"
2025/5/25,013.芝麻葉,,0.13,台斤,"1,100.00",139,  
2025/5/25,401.薄荷葉,,1,包,100,100,  
2025/5/25,001.九層塔,,0.25,台斤,100,25,  
2025/5/25,012.綠捲生菜,,0.19,台斤,300,56,  
2025/5/25,010.紫包心,,0.25,台斤,240,60,  
2025/5/25,007.洋蔥,,4,台斤,40,160,  
2025/5/25,021.洋菇,,10,盒,85,850,  
2025/5/25,003.聖女番茄,,1,盒,125,125,  
2025/5/25,004.牛番茄,,1,台斤,80,80,  
2025/5/25,023.香菇,,0.5,台斤,140,70,  
2025/5/25,022.杏鮑菇,,1,台斤,85,85,  
2025/5/25,100.雞蛋,,4,盒,80,320,  
2025/5/25,201.蛤蠣,,2,台斤,155,310,  
2025/5/25,203.鯛魚片,,2,包,155,310,  
2025/5/25,101.無骨雞腿,,15.81,台斤,145,"2,293",  
2025/5/25,005.紅椒,,1,台斤,110,110,  
2025/5/25,006.黃椒,,1,台斤,100,100,  
2025/5/27,202.白蝦,,4,盒,280,"1,120","$1,859"
2025/5/27,012.綠捲生菜,,0.25,台斤,300,75,  
2025/5/27,201.蛤蠣,,2,台斤,155,310,  
2025/5/27,008.蒜(碎),,1,台斤,120,120,  
2025/5/27,011.蘿蔓生菜,,2.35,台斤,100,234,  
2025/5/28,001.九層塔,,0.25,台斤,100,25,"$1,900"
2025/5/28,022.杏鮑菇,,1,台斤,85,85,  
2025/5/28,023.香菇,,0.5,台斤,140,70,  
2025/5/28,005.紅椒,,2,台斤,110,220,  
2025/5/28,006.黃椒,,2,台斤,100,200,  
2025/5/28,102.二節翅,,10,台斤,130,"1,300",  
2025/5/30,022.杏鮑菇,,1,台斤,85,85,"$7,158"
2025/5/30,023.香菇,,0.5,台斤,140,70,  
2025/5/30,008.蒜(碎),,1,台斤,120,120,  
2025/5/30,001.九層塔,,0.25,台斤,100,25,  
2025/5/30,401.薄荷葉,,1,包,100,100,  
2025/5/30,004.牛番茄,,1,台斤,80,80,  
2025/5/30,021.洋菇,,6,盒,85,510,  
2025/5/30,101.無骨雞腿,,15,台斤,145,"2,175",  
2025/5/30,201.蛤蠣,,2,台斤,155,310,  
2025/5/30,202.白蝦,,4,盒,280,"1,120",  
2025/5/30,203.鯛魚片,,4,包,155,620,  
2025/5/30,204.淡菜,,1,包,150,150,  
2025/5/30,007.洋蔥,,3.7,台斤,40,148,  
2025/5/30,205.煙燻鮭魚,,3.5,台斤,470,"1,645",  
2025/5/31,006.黃椒,,2,台斤,110,220,"$3,244"
2025/5/31,021.洋菇,,6,盒,85,510,  
2025/5/31,004.牛番茄,,1,台斤,80,80,  
2025/5/31,401.薄荷葉,,1,包,100,100,  
2025/5/31,001.九層塔,,0.5,台斤,100,50,  
2025/5/31,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/5/31,008.蒜(碎),,2,台斤,120,240,  
2025/5/31,012.綠捲生菜,,0.38,台斤,300,113,  
2025/5/31,023.香菇,,0.5,台斤,140,70,  
2025/5/31,022.杏鮑菇,,1,台斤,85,85,  
2025/5/31,201.蛤蠣,,4,台斤,155,620,  
2025/5/31,011.蘿蔓生菜,,3.17,台斤,100,317,  
2025/5/31,008.蒜(碎),,1.5,台斤,150,225,  
2025/5/31,007.洋蔥,,5.87,台斤,40,235,  
2025/5/31,005.紅椒,,2.2,台斤,110,242,  
2025/6/4,103.松阪肉,,10,台斤,340,"3,400","$4,723"
2025/6/4,203.鯛魚片,,4,包,155,620,  
2025/6/4,021.洋菇,,6,盒,85,510,  
2025/6/4,012.綠捲生菜,,0.13,台斤,300,38,  
2025/6/4,201.蛤蠣,,1,台斤,155,155,  
2025/6/6,012.綠捲生菜,,0.19,台斤,300,56,"$1,395"
2025/6/6,001.九層塔,,0.38,台斤,100,38,  
2025/6/6,005.紅椒,,1,台斤,110,110,  
2025/6/6,006.黃椒,,1.2,台斤,110,131,  
2025/6/6,008.蒜(碎),,1,台斤,120,120,  
2025/6/6,401.薄荷葉,,1,包,100,100,  
2025/6/6,202.白蝦,,3,盒,280,840,  
2025/6/7,401.薄荷葉,,1,包,100,100,$670
2025/6/7,021.洋菇,,3,盒,85,255,  
2025/6/7,003.聖女番茄,,1,盒,125,125,  
2025/6/7,004.牛番茄,,1,台斤,70,70,  
2025/6/7,010.紫包心,,0.5,台斤,240,120,  
2025/6/8,001.九層塔,,0.25,台斤,100,25,"$4,290"
2025/6/8,012.綠捲生菜,,0.19,台斤,300,56,  
2025/6/8,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/6/8,011.蘿蔓生菜,,2.94,台斤,160,470,  
2025/6/8,005.紅椒,,2.2,台斤,110,241,  
2025/6/8,006.黃椒,,2,台斤,110,220,  
2025/6/8,021.洋菇,,4,盒,40,160,  
2025/6/8,007.洋蔥,,5,台斤,85,425,  
2025/6/8,201.蛤蠣,,1,台斤,155,155,  
2025/6/8,101.無骨雞腿,,15,台斤,145,"2,175",  
2025/6/8,100.雞蛋,,3,盒,75,225,  
2025/6/10,021.洋菇,,3,盒,85,255,"$1,028"
2025/6/10,201.蛤蠣,,2,台斤,155,310,  
2025/6/10,001.九層塔,,0.13,台斤,100,13,  
2025/6/10,012.綠捲生菜,,0.25,台斤,300,75,  
2025/6/10,022.杏鮑菇,,1,台斤,85,85,  
2025/6/10,023.香菇,,0.5,台斤,140,70,  
2025/6/10,008.蒜(碎),,1,台斤,120,120,  
2025/6/10,401.薄荷葉,,1,包,100,100,  
2025/6/11,008.蒜(碎),,1,台斤,120,120,"$2,976"
2025/6/11,012.綠捲生菜,,0.19,台斤,300,56,  
2025/6/11,401.薄荷葉,,1,包,100,100,  
2025/6/11,021.洋菇,,3,盒,85,255,  
2025/6/11,202.白蝦,,3,盒,280,840,  
2025/6/11,102.二節翅,,10,台斤,130,"1,300",  
2025/6/11,007.洋蔥,,3.88,台斤,40,155,  
2025/6/11,204.淡菜,,1,包,150,150,  
2025/6/13,013.芝麻葉,,0.13,台斤,"1,100.00",138,$773
2025/6/13,021.洋菇,,3,盒,85,255,  
2025/6/13,005.紅椒,,1.25,台斤,100,125,  
2025/6/13,006.黃椒,,1,台斤,100,100,  
2025/6/13,023.香菇,,0.5,台斤,140,70,  
2025/6/13,022.杏鮑菇,,1,台斤,85,85,  
2025/10/5,401.薄荷葉,,2,包,100,200,"$3,884"
2025/10/5,402.蘋果,,3,顆,33,99,  
2025/10/5,403.香吉士,,1,台斤,75,75,  
2025/10/5,012.綠捲生菜,,0.19,台斤,300,56,  
2025/10/5,001.九層塔,,0.15,台斤,100,15,  
2025/10/5,011.蘿蔓生菜,,2.13,台斤,185,393,  
2025/10/5,004.牛番茄,,1,台斤,140,140,  
2025/10/5,100.雞蛋,,4,盒,82,328,  
2025/10/5,201.蛤蠣,,1,台斤,155,155,  
2025/10/5,204.淡菜,,1,包,150,150,  
2025/10/5,203.鯛魚片,,4,包,155,620,  
2025/10/5,007.洋蔥,,3.5,台斤,38,133,  
2025/10/5,021.洋菇,,6,盒,85,510,  
2025/10/5,022.杏鮑菇,,1,台斤,95,95,  
2025/10/5,023.香菇,,0.5,台斤,150,75,  
2025/10/5,202.白蝦,,3,盒,280,840,  
2025/10/9,001.九層塔,,0.25,台斤,80,21,"$2,743"
2025/10/9,012.綠捲生菜,,0.19,台斤,300,56,  
2025/10/9,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/10/9,021.洋菇,,5,盒,85,425,  
2025/10/9,008.蒜(碎),,1,台斤,120,120,  
2025/10/9,007.洋蔥,,3.51,台斤,38,133,  
2025/10/9,201.蛤蠣,,2,台斤,155,310,  
2025/10/9,202.白蝦,,3,盒,280,840,  
2025/10/9,005.紅椒,,2,台斤,140,280,  
2025/10/9,006.黃椒,,2,台斤,140,280,  
2025/10/9,002.洋芋,,1.2,台斤,40,48,  
2025/10/9,301.玉米粒,,0.5,台斤,80,40,  
2025/10/9,501.蝦夷蔥,,0.06,台斤,600,38,  
2025/10/9,502.荷蘭豆,,0.07,台斤,240,15,  
2025/10/10,101.無骨雞腿,,15,台斤,135,"2,025","$3,492"
2025/10/10,011.蘿蔓生菜,,2.44,台斤,185,451,  
2025/10/10,002.洋芋,,1.25,台斤,40,50,  
2025/10/10,502.荷蘭豆,,0.06,台斤,240,15,  
2025/10/10,004.牛番茄,,1,台斤,140,140,  
2025/10/10,021.洋菇,,3,盒,85,255,  
2025/10/10,100.雞蛋,,3,盒,82,246,  
2025/10/10,201.蛤蠣,,2,台斤,155,310,  
2025/10/11,401.薄荷葉,,1,包,100,100,"$1,744"
2025/10/11,001.九層塔,,0.19,台斤,80,15,  
2025/10/11,012.綠捲生菜,,0.19,台斤,300,56,  
2025/10/11,102.二節翅,,10,台斤,130,"1,300",  
2025/10/11,002.洋芋,,1.2,台斤,40,48,  
2025/10/11,502.荷蘭豆,,0.06,台斤,240,15,  
2025/10/11,301.玉米粒,,0.5,台斤,80,40,  
2025/10/11,021.洋菇,,2,盒,85,170,  
2025/10/12,012.綠捲生菜,,0.19,台斤,300,56,"$1,326"
2025/10/12,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/10/12,008.蒜(碎),,1,台斤,120,120,  
2025/10/12,003.聖女番茄,,1,盒,180,180,  
2025/10/12,022.杏鮑菇,,1,台斤,95,95,  
2025/10/12,023.香菇,,0.5,台斤,150,75,  
2025/10/12,021.洋菇,,4,盒,85,340,  
2025/10/12,005.紅椒,,1.19,台斤,130,154,  
2025/10/12,006.黃椒,,1,台斤,130,130,  
2025/10/12,501.蝦夷蔥,,0.06,台斤,600,38,  
2025/10/14,503.黃櫛瓜,,0.63,台斤,100,63,"$1,967"
2025/10/14,504.綠櫛瓜,,0.63,台斤,80,50,  
2025/10/14,005.紅椒,,1.18,台斤,120,143,  
2025/10/14,006.黃椒,,1.12,台斤,130,146,  
2025/10/14,505.泰國蘆筍,,0.19,台斤,400,75,  
2025/10/14,007.洋蔥,,3.55,台斤,38,135,  
2025/10/14,506.地瓜,,1,台斤,55,55,  
2025/10/14,201.蛤蠣,,1,台斤,155,155,  
2025/10/14,021.洋菇,,2,盒,85,170,  
2025/10/14,301.玉米粒,,0.19,台斤,80,15,  
2025/10/14,008.蒜(碎),,1,台斤,120,120,  
2025/10/14,202.白蝦,,3,盒,280,840,  
2025/10/17,001.九層塔,,0.25,台斤,80,20,"$1,142"
2025/10/17,012.綠捲生菜,,0.19,台斤,300,56,  
2025/10/17,021.洋菇,,5,盒,85,425,  
2025/10/17,010.紫包心,,0.63,台斤,240,150,  
2025/10/17,201.蛤蠣,,1,台斤,155,155,  
2025/10/17,401.薄荷葉,,1,包,100,100,  
2025/10/17,005.紅椒,,1.25,台斤,105,131,  
2025/10/17,006.黃椒,,1,台斤,105,105,  
2025/10/18,001.九層塔,,0.15,台斤,80,15,"$2,584"
2025/10/18,012.綠捲生菜,,0.19,台斤,300,56,  
2025/10/18,021.洋菇,,5,盒,85,425,  
2025/10/18,202.白蝦,,4,盒,280,"1,120",  
2025/10/18,100.雞蛋,,4,盒,82,328,  
2025/10/18,005.紅椒,,1.07,台斤,105,112,  
2025/10/18,006.黃椒,,1.12,台斤,105,118,  
2025/10/18,004.牛番茄,,1,台斤,100,100,  
2025/10/18,201.蛤蠣,,2,台斤,155,310,  
2025/10/24,013.芝麻葉,,0.13,台斤,"1,100.00",138,"$5,861"
2025/10/24,100.雞蛋,,4,盒,82,328,  
2025/10/24,201.蛤蠣,,4,台斤,155,620,  
2025/10/24,103.松阪肉,,10,台斤,340,"3,400",  
2025/10/24,005.紅椒,,2,台斤,110,220,  
2025/10/24,006.黃椒,,2,台斤,110,220,  
2025/10/24,007.洋蔥,,2.36,台斤,38,90,  
2025/10/24,021.洋菇,,4,盒,85,340,  
2025/10/24,008.蒜(碎),,1,台斤,120,120,  
2025/10/24,004.牛番茄,,1,台斤,100,100,  
2025/10/24,001.九層塔,,0.12,台斤,80,10,  
2025/10/24,401.薄荷葉,,2,包,100,200,  
2025/10/24,012.綠捲生菜,,0.25,台斤,300,75,  
2025/10/25,201.蛤蠣,,1,台斤,155,155,"$4,019"
2025/10/25,401.薄荷葉,,1,包,100,100,  
2025/10/25,001.九層塔,,0.38,台斤,80,30,  
2025/10/25,012.綠捲生菜,,0.25,台斤,300,75,  
2025/10/25,008.蒜(碎),,1,台斤,120,120,  
2025/10/25,011.蘿蔓生菜,,2,台斤,200,400,  
2025/10/25,007.洋蔥,,3.46,台斤,38,131,  
2025/10/25,004.牛番茄,,1,台斤,100,100,  
2025/10/25,021.洋菇,,6,盒,85,510,  
2025/10/25,202.白蝦,,3,盒,280,840,  
2025/10/25,102.二節翅,,10,台斤,130,"1,300",  
2025/10/25,005.紅椒,,1.12,台斤,115,129,  
2025/10/25,006.黃椒,,1.12,台斤,115,129,  
2025/10/26,012.綠捲生菜,,0.19,台斤,300,56,"$5,407"
2025/10/26,008.蒜(碎),,1,台斤,120,120,  
2025/10/26,010.紫包心,,1.06,台斤,240,255,  
2025/10/26,011.蘿蔓生菜,,2.13,台斤,200,425,  
