幣別,台幣,日幣,人民幣,港幣,韓幣,泰銖,新加坡幣,澳幣,歐元
日期,NTBD,JPYD,PGDD,HKDD,KRDD,TBDD,SGDD,AUDD,XEUD
2004/02/01 00:00,33.35,109.29,8.28,7.78,1176,39.27,1.7,0.77,1.24
2004/03/01 00:00,33.01,103.95,8.28,7.79,1146.2,39.26,1.67,0.76,1.23
2004/04/01 00:00,33.17,110.34,8.28,7.8,1173.1,40.02,1.7,0.72,1.2
2004/05/01 00:00,33.39,109.49,8.28,7.79,1160,40.5,1.7,0.71,1.22
2004/06/01 00:00,33.75,109.29,8.28,7.8,1155.3,40.9,1.72,0.69,1.22
2004/07/01 00:00,34.13,111.39,8.28,7.8,1170,41.31,1.72,0.7,1.2
2004/08/01 00:00,34,109,8.28,7.8,1151.7,41.61,1.71,0.71,1.22
2004/09/01 00:00,33.98,110.17,8.28,7.8,1151.8,41.45,1.68,0.72,1.24
2004/10/01 00:00,33.42,106,8.28,7.78,1119.3,41.03,1.66,0.75,1.27
2004/11/01 00:00,32.18,102.77,8.28,7.78,1048,39.41,1.64,0.78,1.33
2004/12/01 00:00,31.92,102.35,8.28,7.77,1035.1,38.83,1.63,0.78,1.36
2005/01/01 00:00,31.75,103.45,8.28,7.8,1027,38.55,1.64,0.77,1.3
2005/02/01 00:00,31.16,104.24,8.28,7.8,1006,38.26,1.62,0.79,1.33
2005/03/01 00:00,31.51,107.15,8.28,7.8,1015,39.13,1.65,0.77,1.3
2005/04/01 00:00,31.26,104.63,8.28,7.79,997,39.42,1.63,0.78,1.29
2005/05/01 00:00,31.35,107.98,8.28,7.78,1005,40.56,1.66,0.76,1.23
2005/06/01 00:00,31.61,110.89,8.28,7.77,1033,41.33,1.69,0.76,1.21
2005/07/01 00:00,31.92,112.26,8.11,7.77,1023,41.65,1.66,0.76,1.21
2005/08/01 00:00,32.75,110.87,8.1,7.77,1040,41.28,1.68,0.75,1.23
2005/09/01 00:00,33.19,113.28,8.09,7.76,1042.4,41.03,1.69,0.76,1.21
2005/10/01 00:00,33.55,116.4,8.08,7.75,1040.1,40.77,1.69,0.75,1.2
